1类置信率,2类置信率,3类置信率,预测分类,实际分类,预测正确
7.61E-10,1,3.17E-09,2,2,1
3.62E-06,0.999995828,6.36E-07,2,2,1
3.95E-05,0.999957561,2.84E-06,2,2,1
2.51E-09,1,7.99E-09,2,2,1
1.32E-10,1,1.73E-11,2,2,1
1.31E-10,1,6.51E-11,2,2,1
1.11E-10,1,5.79E-10,2,2,1
1.01E-08,1,2.85E-08,2,2,1
1.01E-10,1,1.69E-09,2,2,1
3.38E-10,1,1.87E-09,2,2,1
1.41E-11,1,9.34E-10,2,2,1
2.82E-10,1,8.22E-09,2,2,1
1.40E-08,1,1.60E-08,2,2,1
6.86E-09,1,1.56E-08,2,2,1
1.14E-09,1,4.51E-09,2,2,1
1.19E-10,1,9.49E-10,2,2,1
2.20E-09,1,6.96E-10,2,2,1
2.56E-11,1,9.14E-11,2,2,1
1.39E-09,1,4.03E-09,2,2,1
7.14E-06,0.999991655,1.19E-06,2,2,1
1.77E-09,1,8.15E-10,2,2,1
1,5.57E-15,3.12E-14,1,1,1
1,3.23E-08,2.92E-09,1,1,1
1,2.17E-10,2.34E-11,1,1,1
1,6.23E-09,2.89E-10,1,1,1
1,1.97E-08,1.12E-09,1,1,1
1,5.19E-09,8.18E-11,1,1,1
0.999996662,3.39E-06,2.39E-09,1,1,1
0.997452319,0.002547201,4.19E-07,1,1,1
0.000644492,0.999353349,2.11E-06,2,2,1
2.19E-08,1,4.49E-09,2,2,1
3.11E-08,1,2.68E-09,2,2,1
4.52E-11,1,6.71E-11,2,2,1
2.76E-13,1,1.02E-11,2,2,1
5.52E-11,1,1.29E-10,2,2,1
8.89E-10,1,2.64E-09,2,2,1
2.94E-12,1,1.84E-11,2,2,1
4.10E-11,1,5.28E-11,2,2,1
3.05E-13,1,8.23E-12,2,2,1
2.63E-12,1,2.40E-11,2,2,1
1.59E-11,1,3.69E-10,2,2,1
1.40E-13,1,1.49E-12,2,2,1
6.25E-13,1,8.46E-12,2,2,1
5.79E-13,1,2.37E-12,2,2,1
1.05E-12,1,3.07E-11,2,2,1
2.67E-11,1,1.19E-10,2,2,1
1.25E-13,1,1.11E-11,2,2,1
4.37E-09,1,8.50E-09,2,2,1
6.58E-12,1,9.10E-11,2,2,1
8.97E-12,1,1.42E-10,2,2,1
5.39E-08,1,3.56E-08,2,2,1
1.45E-10,1,4.50E-10,2,2,1
1.09E-12,1,1.04E-11,2,2,1
6.70E-12,1,9.43E-11,2,2,1
5.53E-12,1,1.73E-10,2,2,1
1.22E-13,1,1.65E-11,2,2,1
3.78E-11,1,2.25E-10,2,2,1
1.15E-14,1,2.39E-12,2,2,1
5.62E-14,1,9.55E-12,2,2,1
1.45E-17,1,3.08E-14,2,2,1
6.19E-10,1,1.69E-09,2,2,1
3.93E-11,1,6.75E-10,2,2,1
7.76E-13,1,1.81E-11,2,2,1
2.03E-10,1,8.45E-10,2,2,1
1.09E-10,1,4.57E-10,2,2,1
7.65E-11,1,8.29E-10,2,2,1
8.22E-13,1,5.11E-11,2,2,1
9.74E-13,1,4.41E-11,2,2,1
5.35E-11,1,6.96E-11,2,2,1
8.62E-09,1,7.32E-10,2,2,1
6.18E-11,1,5.51E-10,2,2,1
1.75E-09,1,3.26E-09,2,2,1
2.54E-10,1,3.59E-10,2,2,1
2.14E-10,1,5.14E-09,2,2,1
1.02E-10,1,1.20E-09,2,2,1
7.28E-11,1,1.07E-09,2,2,1
2.23E-08,1,1.05E-08,2,2,1
3.89E-08,1,4.72E-08,2,2,1
1.34E-09,1,8.27E-10,2,2,1
1.08E-09,1,6.14E-09,2,2,1
4.24E-11,1,7.98E-10,2,2,1
4.36E-09,1,2.14E-08,2,2,1
6.24E-11,1,5.36E-10,2,2,1
1.91E-10,1,2.95E-09,2,2,1
1.69E-08,1,2.27E-08,2,2,1
1,2.03E-13,1.93E-12,1,1,1
1,3.30E-12,1.77E-12,1,1,1
1,8.79E-10,1.87E-10,1,1,1
1,4.43E-09,3.56E-10,1,1,1
1,7.78E-10,1.61E-10,1,1,1
1,2.00E-11,1.68E-12,1,1,1
0.999991536,8.42E-06,2.38E-08,1,1,1
0.999875426,0.000124509,1.64E-08,1,1,1
0.997357011,0.002642874,9.15E-08,1,1,1
1.25E-06,0.999998808,3.91E-08,2,2,1
3.13E-06,0.999996901,8.84E-09,2,2,1
2.19E-09,1,3.52E-10,2,2,1
7.68E-09,1,9.25E-11,2,2,1
1.63E-11,1,3.39E-11,2,2,1
3.08E-10,1,4.11E-10,2,2,1
1.22E-11,1,8.88E-11,2,2,1
3.05E-12,1,3.81E-11,2,2,1
1.03E-12,1,1.75E-12,2,2,1
7.86E-13,1,8.97E-12,2,2,1
6.03E-13,1,5.80E-12,2,2,1
3.04E-12,1,1.34E-10,2,2,1
2.58E-12,1,1.43E-11,2,2,1
6.35E-12,1,4.79E-11,2,2,1
5.77E-13,1,1.36E-12,2,2,1
1.35E-11,1,1.92E-11,2,2,1
5.13E-11,1,1.18E-10,2,2,1
1.72E-13,1,5.57E-12,2,2,1
2.82E-09,1,6.61E-09,2,2,1
2.85E-10,1,1.30E-09,2,2,1
3.98E-12,1,1.23E-10,2,2,1
1.69E-13,1,4.07E-12,2,2,1
4.44E-12,1,4.62E-11,2,2,1
8.08E-13,1,2.95E-11,2,2,1
1.80E-12,1,1.37E-10,2,2,1
2.01E-11,1,3.79E-10,2,2,1
9.42E-12,1,4.14E-10,2,2,1
7.20E-13,1,5.06E-11,2,2,1
3.21E-16,1,6.79E-13,2,2,1
8.31E-15,1,3.81E-12,2,2,1
9.83E-18,1,9.32E-15,2,2,1
1.06E-12,1,4.90E-12,2,2,1
2.06E-14,1,7.57E-12,2,2,1
6.15E-15,1,3.08E-12,2,2,1
1.01E-15,1,1.14E-12,2,2,1
5.70E-13,1,4.69E-11,2,2,1
4.89E-13,1,7.61E-11,2,2,1
1.92E-10,1,1.76E-09,2,2,1
3.04E-11,1,2.90E-10,2,2,1
3.99E-09,1,8.56E-09,2,2,1
4.40E-13,1,3.55E-11,2,2,1
8.26E-10,1,2.36E-09,2,2,1
4.24E-10,1,1.90E-09,2,2,1
1.40E-10,1,9.67E-11,2,2,1
2.25E-13,1,2.44E-12,2,2,1
1.76E-09,1,5.47E-09,2,2,1
4.60E-12,1,1.35E-10,2,2,1
2.85E-13,1,6.16E-12,2,2,1
4.83E-10,1,1.90E-09,2,2,1
1.11E-09,1,1.18E-09,2,2,1
7.75E-10,1,1.91E-09,2,2,1
1.78E-08,1,2.28E-08,2,2,1
9.61E-10,1,9.50E-09,2,2,1
1.33E-10,1,8.61E-10,2,2,1
2.31E-10,1,8.58E-10,2,2,1
3.08E-09,1,1.21E-09,2,2,1
8.48E-09,1,1.04E-08,2,2,1
1.61E-10,1,1.05E-09,2,2,1
3.18E-11,1,3.06E-10,2,2,1
5.99E-11,1,7.56E-10,2,2,1
1.14E-10,1,7.50E-10,2,2,1
7.71E-13,1,1.56E-11,2,2,1
3.06E-12,1,4.14E-11,2,2,1
4.06E-08,1,2.09E-08,2,2,1
6.64E-09,1,2.79E-09,2,2,1
0.999999881,4.69E-08,9.43E-08,1,1,1
1,8.26E-13,2.10E-11,1,1,1
1,4.03E-09,6.86E-10,1,1,1
1,5.59E-09,6.60E-10,1,1,1
0.999999523,4.52E-07,2.35E-08,1,1,1
1,2.22E-15,6.42E-15,1,1,1
1,7.77E-20,6.76E-19,1,1,1
1,8.08E-10,3.31E-11,1,1,1
0.998621106,0.001378165,6.56E-07,1,1,1
0.029708853,0.970247567,4.36E-05,2,2,1
0.001106591,0.998893201,1.88E-07,2,2,1
4.07E-08,1,1.68E-09,2,2,1
8.90E-12,1,4.38E-11,2,2,1
6.31E-09,1,2.06E-09,2,2,1
5.48E-10,1,4.09E-10,2,2,1
1.48E-12,1,3.95E-12,2,2,1
7.09E-12,1,5.35E-11,2,2,1
2.12E-12,1,9.05E-12,2,2,1
6.86E-14,1,2.39E-12,2,2,1
5.77E-14,1,9.48E-13,2,2,1
2.82E-13,1,3.93E-12,2,2,1
1.04E-13,1,1.85E-12,2,2,1
1.16E-15,1,4.01E-13,2,2,1
1.90E-13,1,8.37E-12,2,2,1
1.39E-13,1,4.85E-13,2,2,1
1.25E-11,1,2.24E-12,2,2,1
3.15E-12,1,1.56E-11,2,2,1
1.66E-11,1,1.34E-10,2,2,1
3.09E-10,1,7.04E-10,2,2,1
4.67E-11,1,4.34E-10,2,2,1
1.80E-13,1,6.63E-12,2,2,1
4.55E-11,1,4.28E-10,2,2,1
8.37E-11,1,7.56E-10,2,2,1
3.42E-09,1,7.97E-09,2,2,1
5.46E-13,1,6.09E-11,2,2,1
4.43E-14,1,1.46E-11,2,2,1
1.66E-13,1,1.93E-11,2,2,1
1.06E-14,1,4.34E-12,2,2,1
1.16E-10,1,1.65E-09,2,2,1
5.10E-06,0.999994159,7.58E-07,2,2,1
9.34E-18,1,1.72E-14,2,2,1
1.25E-14,1,3.31E-12,2,2,1
2.99E-16,1,9.88E-13,2,2,1
4.38E-15,1,4.49E-12,2,2,1
6.68E-18,1,4.82E-14,2,2,1
3.35E-10,1,3.36E-09,2,2,1
0.991519749,0.008357352,0.000122937,1,1,1
7.57E-11,1,7.64E-10,2,2,1
3.42E-14,1,1.42E-11,2,2,1
5.45E-10,1,3.19E-09,2,2,1
0.004268419,0.995699286,3.22E-05,2,2,1
1.03E-08,1,1.99E-08,2,2,1
7.12E-12,1,1.89E-10,2,2,1
5.41E-14,1,1.55E-11,2,2,1
7.90E-09,1,2.00E-08,2,2,1
5.02E-07,0.999999404,1.77E-07,2,2,1
6.48E-08,0.999999762,7.02E-08,2,2,1
4.22E-12,1,1.77E-10,2,2,1
3.60E-09,1,6.53E-09,2,2,1
2.42E-08,1,2.88E-08,2,2,1
2.13E-07,0.999999642,1.19E-07,2,2,1
2.48E-11,1,7.60E-11,2,2,1
3.50E-11,1,6.06E-12,2,2,1
3.18E-13,1,3.98E-13,2,2,1
9.86E-15,1,3.51E-14,2,2,1
7.11E-14,1,5.37E-14,2,2,1
1.43E-12,1,2.14E-13,2,2,1
2.98E-07,0.999999762,4.41E-09,2,2,1
1.38E-10,1,1.64E-09,2,2,1
1.61E-12,1,1.70E-11,2,2,1
1.51E-16,1,4.66E-14,2,2,1
1.58E-16,1,6.21E-14,2,2,1
4.14E-11,1,4.42E-10,2,2,1
1.44E-10,1,3.00E-10,2,2,1
7.08E-10,1,1.21E-09,2,2,1
9.28E-09,1,6.92E-09,2,2,1
5.49E-07,0.999999404,4.96E-08,2,2,1
3.86E-08,1,1.46E-08,2,2,1
5.41E-09,1,2.68E-09,2,2,1
9.12E-11,1,3.78E-10,2,2,1
2.91E-12,1,6.90E-11,2,2,1
3.68E-11,1,5.01E-11,2,2,1
8.04E-11,1,5.61E-10,2,2,1
5.01E-10,1,4.88E-10,2,2,1
1.85E-08,1,1.56E-09,2,2,1
8.64E-09,1,2.60E-09,2,2,1
3.07E-12,1,4.32E-12,2,2,1
1.26E-12,1,5.71E-11,2,2,1
2.74E-09,1,6.12E-09,2,2,1
5.50E-09,1,1.31E-09,2,2,1
1.04E-08,1,4.52E-10,2,2,1
1.97E-09,1,2.34E-10,2,2,1
1.65E-08,1,4.62E-09,2,2,1
